"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.345431918E2,6.126845252E1,2.403028519E1,1.064474937E2,1.399999976E0,3.141000061E2,3.790092468E0,2.500000000E0
1.355429053E2,6.126845504E1,2.403026263E1,1.065423938E2,1.570000052E0,2.658999939E2,3.790092468E0,2.500000000E0
1.365428523E2,6.126845252E1,2.403023677E1,1.065832115E2,1.509999990E0,2.630000000E2,3.790092468E0,2.500000000E0
1.375435698E2,6.126844899E1,2.403021787E1,1.060037317E2,1.090000033E0,2.632000122E2,3.790092468E0,2.500000000E0
1.385426066E2,6.126844633E1,2.403019849E1,1.053934295E2,1.360000014E0,2.667000122E2,3.790092468E0,2.500000000E0
1.395434549E2,6.126844718E1,2.403017718E1,1.051758902E2,1.429999948E0,2.818999939E2,3.790092468E0,2.500000000E0
1.405427928E2,6.126845248E1,2.403015679E1,1.050989184E2,1.419999957E0,2.936000061E2,3.790092468E0,2.500000000E0
1.415427560E2,6.126845995E1,2.403013602E1,1.049516355E2,1.490000010E0,2.992999878E2,3.790092468E0,2.500000000E0
1.425428522E2,6.126846824E1,2.403011707E1,1.045930504E2,1.539999962E0,3.000000000E2,3.790092468E0,2.500000000E0
1.435429455E2,6.126847683E1,2.403009952E1,1.047038265E2,1.429999948E0,2.990000000E2,3.790092468E0,2.500000000E0
1.445431224E2,6.126848381E1,2.403008139E1,1.045783952E2,1.470000029E0,2.875000000E2,3.790092468E0,2.500000000E0
1.455435973E2,6.126848622E1,2.403005818E1,1.045824136E2,1.480000019E0,2.685000000E2,3.790092468E0,2.500000000E0
1.465431150E2,6.126848598E1,2.403003452E1,1.043358805E2,1.409999967E0,2.681000061E2,3.790092468E0,2.500000000E0
1.475434605E2,6.126848368E1,2.403001115E1,1.040784819E2,1.450000048E0,2.597000122E2,3.790092468E0,2.500000000E0
1.485433043E2,6.126847957E1,2.402998738E1,1.037745119E2,1.409999967E0,2.582999878E2,3.790092468E0,2.500000000E0
1.495435294E2,6.126847567E1,2.402996282E1,1.036811130E2,1.399999976E0,2.565000000E2,3.790092468E0,2.500000000E0
